"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"NSL1",3.21631487084255e-19,0.25605712143138,0.216,0.135,1.39272866537224e-14,"4"
"TMEM59",3.44672924931533e-19,0.693364910626151,0.247,0.164,1.49250269953852e-14,"4"
"PPP2R1B",3.71913973259629e-19,-0.389765155066538,0.036,0.112,1.61046188700884e-14,"4"
"SERINC1",3.74255567046617e-19,0.443386001839876,0.241,0.156,1.62060145642526e-14,"4"
"ENTPD3-AS1",3.79514568187772e-19,-0.398635824722163,0.034,0.108,1.64337398316669e-14,"4"
"RENBP",4.216794634361e-19,0.312726275662839,0.13,0.069,1.825956412571e-14,"4"
"LINC00476",5.9391811471472e-19,-0.44906745771243,0.046,0.125,2.57178422033768e-14,"4"
"RPS17",6.22993585338976e-19,0.657221083134022,0.126,0.066,2.69768682323483e-14,"4"
"RAD9A",6.37886533600779e-19,-0.42944473935117,0.062,0.146,2.76217626779809e-14,"4"
"ZNF273",6.41041965997018e-19,-0.404702037714081,0.04,0.116,2.77583992116029e-14,"4"
"DERA",6.59165869705505e-19,0.353006820747374,0.16,0.092,2.85432004899878e-14,"4"
"ATL1",7.2231560837595e-19,-0.314056751787145,0.032,0.106,3.12777104738954e-14,"4"
"CNIH3",7.28955179172753e-19,-0.356253415432726,0.037,0.112,3.15652171685385e-14,"4"
"BCAR3",7.31304428782836e-19,-0.466920976031772,0.157,0.26,3.16669443751544e-14,"4"
